"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test Connectivity","","0","0","3","0","0"
"","Multi VLAN Test","","0","0","6","0","0"
"","","","0","0","48","0","0"
"","MultiPsk Test","","2","0","6","0","0"
"","Client Connectivity","","0","0","20","0","0"
"","Rate Limiting With Radius Test","","0","0","2","0","0"
"","Client Connectivity","wpa3_personal 2.4 GHZ Band","0","0","1","0","0"
"","Client Connectivity","wpa 5 GHZ Band","0","0","1","0","0"
"","Client Connectivity","OPEN 5 GHZ Band","0","0","1","0","0"
"","Client Connectivity","wpa wpa2 personal mixed 2.4 GHZ Band","0","0","1","0","0"
"","Client Connectivity","wpa2_personal 2.4 GHZ Band","0","0","1","0","0"
"","Rate Limiting Tests","","0","0","1","0","0"
"","Client Connectivity","wpa3_personal 6 GHZ Band","0","0","0","1","0"
"","Client Connectivity","wpa wpa2 personal mixed 5 GHZ Band","0","0","1","0","0"
"","Client Connectivity","wpa3_personal_mixed 2.4 GHZ Band","0","0","1","0","0"
"","Client Connectivity","wpa 2.4 GHZ Band","0","0","1","0","0"
"","Dynamic VLAN Test","","0","0","4","0","0"
"","Client Connectivity","wpa3_personal_mixed 5 GHZ Band","0","0","1","0","0"
"","Rate Limiting Test","","0","0","2","0","0"
"","Client Connectivity","OPEN 2.4 GHZ Band","0","0","1","0","0"
"","PEAK THROUGHPUT TESTS","","0","0","2","0","0"
"","Client Connectivity","wpa2_personal 5 GHZ Band","0","0","1","0","0"
"","DFS Test","","0","0","3","0","0"
"","Client Connectivity","wpa3_personal 5 GHZ Band","0","0","1","0","0"
